=== Empty Reorder Buffer =========
reg29: Valid=0, ROB_TAG=-1
reg30: Valid=0, ROB_TAG=-1
reg31: Valid=0, ROB_TAG=-1
reg32: Valid=0, ROB_TAG=-1
reg33: Valid=0, ROB_TAG=-1
reg34: Valid=0, ROB_TAG=-1
reg35: Valid=0, ROB_TAG=-1
reg36: Valid=0, ROB_TAG=-1
reg37: Valid=0, ROB_TAG=-1
reg38: Valid=0, ROB_TAG=-1
reg39: Valid=0, ROB_TAG=-1
reg40: Valid=0, ROB_TAG=-1
reg41: Valid=0, ROB_TAG=-1
reg42: Valid=0, ROB_TAG=-1
reg43: Valid=0, ROB_TAG=-1
reg44: Valid=0, ROB_TAG=-1
reg45: Valid=0, ROB_TAG=-1
reg46: Valid=0, ROB_TAG=-1
reg47: Valid=0, ROB_TAG=-1
reg48: Valid=0, ROB_TAG=-1
reg49: Valid=0, ROB_TAG=-1
reg50: Valid=0, ROB_TAG=-1
reg51: Valid=0, ROB_TAG=-1
reg52: Valid=0, ROB_TAG=-1
reg53: Valid=0, ROB_TAG=-1
reg54: Valid=0, ROB_TAG=-1
reg55: Valid=0, ROB_TAG=-1
reg56: Valid=0, ROB_TAG=-1
reg57: Valid=0, ROB_TAG=-1
reg58: Valid=0, ROB_TAG=-1
reg59: Valid=0, ROB_TAG=-1
reg60: Valid=0, ROB_TAG=-1
reg61: Valid=0, ROB_TAG=-1
reg62: Valid=0, ROB_TAG=-1
reg63: Valid=0, ROB_TAG=-1
reg64: Valid=0, ROB_TAG=-1
reg65: Valid=0, ROB_TAG=-1
reg66: Valid=0, ROB_TAG=-1

===> Current Cycle : 0
RETIRE STAGE
RETIRE. RT Register

Reorder Buffer
  ROB 1000: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1001: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1002: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1003: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1004: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1005: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1006: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1007: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1008: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1009: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1010: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1011: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1012: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1013: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1014: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1015: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1016: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1017: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1018: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1019: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1020: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1021: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1022: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1023: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1024: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1025: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1026: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1027: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1028: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1029: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1030: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1031: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1032: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1033: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1034: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1035: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1036: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1037: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1038: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1039: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1040: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1041: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1042: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1043: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1044: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1045: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1046: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1047: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1048: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1049: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1050: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1051: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1052: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1053: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1054: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1055: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1056: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1057: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1058: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1059: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1060: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1061: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1062: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1063: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1064: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1065: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1066: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1067: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1068: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1069: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1070: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1071: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1072: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1073: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1074: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1075: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1076: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1077: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1078: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1079: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1080: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1081: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1082: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1083: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1084: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1085: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1086: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1087: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1088: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1089: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1090: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1091: [dst=-1, rdy=0, mis=0, pc= 0]
  ROB 1092: [dst=-1, rdy=0, mis=0, pc= 0]
